I think you are now ready., neg,1
Both the approach and the ability to move the Beast's layout really sells the scope and scale: you feel like you're riding in a giant stone robot that's also a dungeon., neg,1
Being able to tilt an entire level is damned cool trick; Nintendo., neg,0.6
The problem is two-fold., neg,1
One; the Beasts share largely the same art style and the same two types of enemies: Ganon's Malice and robotic Guardians., neg,1
They're mostly puzzle-centric; not a real mix of puzzle and combat., pos,0.6
If you're looking for wildly divergent looks; Nintendo saved all that effort for the world itself; not the dungeons., neg,1
Two; they're not very long: you can clear most in around 30 minutes tops., neg,1
See; what Nintendo did was take some of the puzzles that would be inside a single dungeon and spread them out amongst the Shrines., neg,1
There are around 100+ out there in the world according to Nintendo's count., neg,1
Each shrine is usually themed around a single mechanic; with maybe one or two puzzles., neg,1
You can finish them in around 10 minutes; though there are some that are more robust., pos,1
Like the dungeons; the Shrines all share the same basic look; probably so it was easier for Nintendo to build a ton of them., neg,1
Which is to say; I think you get more dungeon-style gaming in Breath of the Wild than other Zelda games; but it's spread out in an odd manner., neg,1
This means you won't have dungeons that are as memorable as say Ocarina of Time's Water Temple; Twilight Princess' Snowpeak Ruins; or Majora's Mask Stone Tower Temple., pos,1
I can't say whether that's better or worse; it's mostly just different., neg,1
It annoyed me in the beginning after my first dungeon; but I ultimately got used to it and started enjoying it by the later shrines., neg,0.6
Let it be said that there are alternate dungeon-style locations to find., neg,1
I found three labyrinths; a shadow forest; and a deserted island for folks that spend some time exploring the world with a bit more depth and rigor., neg,1
If you're big on the technical aspects of the visual game presentation; I think Breath of the Wild might disappoint., pos,0.6
The game has a lot of jaggies and the frame rate can chug here and there: The foot of the Great Deku Tree is 100 percent guaranteed to make the frame rate drop., neg,1
The game leans heavily on art style over image quality to make everything work., pos,0.8
It didn't bother me much - in fact; I'm impressed with what Nintendo was able to pull off here - but if you're looking for something as visually clean as the latest PC; PS4; or Xbox One title; this isn't it., neg,1
Before I wrap up the review; I also want to spend some time talking about Breath of the Wild's overall narrative., neg,1
The basic gist is 100 years ago; Link; Princess Zelda; and cadre of Champions from each race came together to fight Ganon and utterly failed., neg,1
Link was put into hibernation; which stripped him of his memories., neg,1
What you get out of Breath of the Wild's story is what you put into it., neg,1
The major dungeons each feature one of the Champions who were intended to pilot the Divine Beast., pos,1
Their bond with Link and Zelda is illustrated in flashback over the quests leading to the dungeon itself and a final cutscene after the dungeon is complete., neg,1
Beyond that; Link's relationship with Zelda is given a short shift if you don't seek out Link's memories by looking for specific spots in the world., neg,1
Your Sheikah Slate is full of pictures from Link's time with Zelda and it's up to you to find the location where the picture was taken to retrieve the memory., neg,0.8
If you take the time to do so; you're given glimpses into a Princess Zelda that wants to be a scientist and not a holy figure., pos,0.8
She's straining against her desires; feeling that she can do more for Hyrule by studying the Guardians and Divine Beasts rather than praying to the gods., neg,1
It's an interesting take on the character that I figure most players will miss., neg,1
That's a shame and I wish more could be done in that respect., neg,1
(Also; the voice acting that backs up these cutscenes ranges from okay to dire)., neg,1
There's a bright and beautiful world of interesting characters to find., pos,1
The side quests aren't completely up to snuff with the writing The Witcher 3: Wild Hunt; but Aonuma took his notes well., neg,1
They're mostly fun and memorable diversions in a game that's all diversions., pos,1
I could go on and on., neg,1
The Legend of Zelda: Breath of the Wild is a big game., neg,1
With over 2;500 words I wasn't able to cover the subtle; but amazing music; the extensive cooking system; or what you can do with all the bits and baubles you pick up off the corpses of enemies., pos,1
There's just so much to write about and trying to do it all in one place is hard., neg,1
I was worried about The Legend of Zelda Breath of the Wild., neg,1
The previous console Zelda; Skyward Sword; did not resonate with me., neg,0.6
I picked up the Special Edition of the game; ready to dive in; but I found a game that mostly bored me., neg,1
I eventually left the game and never looked back., neg,1
I was afraid that Breath of the Wild would be the same., neg,1
Nintendo has done open-world style games before; but this was the first one of this scale., neg,0.6
I wondered if Nintendo could pull off that scale; while still retaining what makes Zelda tick., neg,1
They did., neg,1
The Legend of Zelda: Breath of the Wild is an amazing game., pos,1
As someone who loves open-world games; this is one of the best out there., pos,1
As someone who enjoys the Zelda series; I honestly think I can say the same thing again., neg,1
Nintendo has brought together a number of different ideas and mechanics; but integrated them into something that stands on its own., pos,1
It's the kind of game where I don't want Nintendo to do something completely different for the next Zelda., neg,0.8
I want more of this., neg,1
Lasting appeal - There's a huge world to explore., pos,1
You may not want to revisit the game once you're done; but that's going to take quite a while., neg,1
Sound - The music is soft and subtle; mostly light piano., pos,1
When it needs to kick things up a notch; the music can get rather epic., pos,1
Great soundtrack., neg,1
Visuals - The art direction is on point; even if the technical aspects are lackluster., neg,1
The Legend of Zelda: Breath of the Wild draws from many sources of inspiration; including older Zelda games and titles like Skyrim and The Witcher 3; to create something wholly unique., pos,1
Nintendo has crafted a wide; beautiful world to explore; underpinned with some interesting emergent mechanics., pos,1
Breath of the Wild stands as one of the best in the series and a great opener for Nintendo's newest console., pos,1
Link; elfin hero of the Legend of Zelda series; is very much a Peter Pan figure., neg,1
Shigeru Miyamoto has said that Link was inspired by Peter Pan; at least visually., neg,0.6
Now; after decades saving Hyrule and Princess Zelda from the evil pig-man-beast Ganon; many different times and many different ways; Link is the boy who never grew up., pos,1
Except he has a bit., neg,1
He certainly got taller., neg,1
This is good; because Breath of the Wild is a more grown up adventure -- or at least; it's the kind of adventure a child might imagine they'll have when they're grown up; the kind of adventure where you can tame wild horses; climb trees to eat apples; and fly from the tops of mountains; and sometimes it might be a bit scary but; if you need to; you can run away to somewhere you can eat a cake and feel better -- and there's a lot to be done., pos,0.6
So Link (and us with him) hears the call of the wild now., neg,1
The Breath of the Wild is surprisingly musical; by which I mean it doesn't have very much music but it has a lot of very specific; very well made sounds., pos,1
The times it does have music are usually times you run into civilisation; like the stables dotted around -- and sometimes at the stables there's a Rito bard; playing Epona's Theme on the accordion (against all physical probability that he is able to play an accordion)., pos,1
Sometimes; when you crest a hill or enter a wide prairie; a few piano notes sound to remind you that you're in the wild now; but they're not happy notes., pos,1
They're slightly menacing; because the wild; the great-out-there; is dangerous., neg,1
Most of the time; though; you're listening to the world itself., neg,1
Sometimes the wind rushes strong and whispers in the grass; or sometimes it's you cutting a swathe through a field making it rustle., neg,0.8
Calm rivers ripple and great waterfalls roar out mist., pos,1
When it's sunny and quiet you can still hear Link's feet; and the gear on his back; which knocks with a different noise if he's using wooden weapons or metal ones., pos,1
When it's raining softly you hear little patters; and when a storm rages you hear thunder and lightning; and see other people running for cover., neg,1
The crunch of walking over snow isn't the same as the crunch of walking over sand; and all are entirely different again if you're riding a horse; which is accompanied by jingles of tack and; sometimes; laboured horsey breathing if you're pushing hard., neg,1
You can startle birds and listen to them flap away; you can cut into a tree with little thwacks of a blade and listen to it falling; you can sit on a silent mountain and listen to wolves howling., neg,1
Even the other people and animals you meet fit nicely into the wild; which has made a space for them rather than them making a space for themselves., neg,1
The villages fit around existing hills; canyons; or rivers of lava; and mostly sound like wind chimes; flags; and cooking fires., neg,1
The Koroks; little wood spirits with leaf mask faces; sound like hollow wood knocking together., neg,1
But the deeper into the wild you get; the more enemies you run into., pos,0.8
They; particularly ancient mechanical ones like the cephalopodic; six-legged Guardians; have noises out of sorts with everything else., neg,1
Their unnatural scrapings across your ears make it all the more imperative that you dispatch them; or get away from them yourself., neg,0.6
They shouldn't be here!, neg,1
They're ruining it; the ruiners!, neg,1
., neg,1
This is especially galling when they come back whenever a blood moon rises; a method Nintendo have used here  to not make the game lose its moments of peril but not use inexplicable respawning., neg,0.8
But coming back from the dead isn't allowed: only I; the hero; should be allowed to do that!, neg,1
These insolent lizards must be dealt with!, neg,1
Accompanied by the heartbreaking; slow-motion crystalline shattering noise that your sword makes when it finally breaks., neg,1
I'm thoroughly convinced; along with; I'm sure; anyone else who has played the game; that while yes; there is a whole thing with Princess Zelda and Ganon and what have you; Breath of the Wild is almost entirely about the world; and when you play you should be listening to it., neg,1
You can hear rivers before you see them; and enemies before you run into them., neg,1
If you listen hard enough you can hear secrets; and faires; and find your way through the lost woods., neg,1
When the wind whips up you can hear how empty it all is., neg,1
How vast the stretches between points of civilisation and safety are., neg,1
How Link; taller though he may be now; is so small compared to it all., pos,1
Here; more than ever; Link must be smart., pos,1
He must look after himself almost entirely., neg,1
The most grown up he's ever been., pos,1
But that's fine., pos,1
To grow up; to live; to die., neg,0.6
What an awfully big adventure., pos,0.8
HIGH Medoh and Naboris; two dungeons of unparalleled spectacle., neg,1
LOW Losing my grip during a long climb because it suddenly started raining., neg,1
WTF How are the Koroks at Death Mountain not spontaneously combusting?, neg,1
When I step into a Zelda overworld for the first time; I expect a bit of fanfare as I set course for one of the majestic locations silhouetted against the sky., pos,0.8
A new Zelda is usually a spirited affair; but the adventure in which a prophesied hero sets off to defend his land from an ancient menace happened a hundred years ago; and it didn't end well., pos,1
Series nemesis Ganon won; most who fought against him died; and Link was sealed away for a century to recover from mortal wounds., pos,1
When he reemerges into the fields of Hyrule mere minutes after Breath of the Wild begins; he's not met with blaring trumpets., neg,1
just silence and ruin., neg,1
That jarring introduction is the first indication that; at long last; Zelda has matured., neg,1
While I adore the series; it's wallowed in its own formula for a long time; and Nintendo has struggled to push the brand forward in a meaningful way., neg,1
The hardware gimmicks were a dead-end; and even the brilliance of something like Majora's Mask would be diminished had it become a mainstay., pos,1
Breath of the Wild's shakeups make it feel like the series' most substantive step forward in nearly two decades; and it's been a long time since a Zelda release was such an event., neg,0.8
The main reason is one producer Eiji Aonuma underlined when he first unveiled Wild., neg,0.6
The original 2D titles had a sprawling; mazelike quality to them; and their worlds functioned as cohesive wholes that expanded as players added to their arsenals., pos,1
For a long time; the technology to reproduce that particular flow in 3D wasn't there; so instead; we'd get segmented worlds where vacant stretches of field or ocean would connect the more exciting bits., neg,1
That changes with Breath of the Wild; the first 3D entry in the series that can honestly be called an open-world game; and the degree to which Nintendo has pulled down the barriers puts their earlier efforts to shame., neg,1
Right from the start of the game; Link can climb any vertical surface for as long as his stamina meter can tolerate it., neg,1
Players are given all of their major abilities during the tutorial section; and once that's complete; they can travel anywhere., neg,1
It's possible to make a beeline straight for the final boss if players think they're up for it., neg,1
Of course; if they do; they'll quickly learn that Breath of the Wild is the first Zelda in quite some time in which players can expect to die., neg,1
a lot., neg,1
The game's walls are the figurative kind where I frequently got my teeth kicked in for venturing too far afield while poorly armed; or when setting out with an insufficient understanding of the game's systems., neg,1
While it's not quite an RPG; there's more to preparing Link for battle than simply hunting for heart containers., neg,1
Equipment has stats now; money is earned primarily through quests; and weapons break after continuous use., neg,1
Speaking of weapon degradation; I initially hated to see Zelda adopting the mechanic; but it actually plays much like Let It Die; perhaps the only game in recent memory to successfully pull it off., neg,1
No weapon is meant to last long; and they drop so frequently that it's more a matter of adjusting to constantly-shifting conditions than having to backtrack for repairs every few hours., neg,1
Another tired staple of modern gaming that Nintendo has successfully tuned is tower climbing., neg,1
Yes; players map out Hyrule by climbing to high places; just like every Ubisoft game ever; but it only provides a topographical layout of the landscape., neg,1
Players are still on their own to actually find things., neg,1
Whereas too many open-world games boil down to endless waypoint-chasing because they lack the guts to truly turn players loose; Breath of the Wild restores a sense of discovery to a genre that should be defined by it., neg,1
So what's to discover?, neg,1
Well; Link's major objective is to retake control of the Divine Beasts; four Shadow of the Colossus-sized monstrosities that can be used to help drive Ganon out of Hyrule Castle., pos,1
Their insides house Wild's major dungeons; and while they're short by Zelda standards; they make up for it in creativity and spectacle., neg,1
Even the process of boarding these things is a degree of awesome that we've never before seen in this series., pos,1
Most of the cleverest material; however; is broken up and spread throughout the map in the form of shrines - miniature dungeons that typically house a single puzzle each., neg,1
They function as warp points; and completing them also earns players valuable upgrades to health and stamina., pos,0.8
The shrines all emit a bright orange glow; easily distinguished against Breath of the Wild's muted colors; particularly when viewed from a high place., neg,0.8
So the game's loop is to climb a tower; get a general sense of where a shrine might be; locate and complete the shrine which strengthens Link; and then trudge deeper into the unknown in search of another tower., pos,1
It's kept from becoming monotonous by both its breathtaking scenery - which looks stunning on the tiny Switch - and the sort of whimsy we rarely see outside of Nintendo products., pos,1
Unlike a certain other recent post-apocalyptic open-world game that pitted a bow-wielding warrior against ancient robots; Breath of the Wild is never self-serious; and even its smallest details and most minor characters exude charm., pos,1
The next time someone tells me that Breath of the Wild is just another open world game; I'll counter that the Assassin's Creed games don't have accordion-playing birdmen; nor do they let me cook raw meat by placing it on volcanic surfaces., pos,1
What ultimately makes Breath of the Wild an utter triumph; though; is the gift of player agency., neg,1
The ability to truly go anywhere from the start; to attack objectives in any order without restriction; and to confront the final boss whenever we feel sufficiently prepared throws a gauntlet down to every other open-world title on the market; and it's an experience seemingly tuned for every taste; offering precisely what any given player wants out of it., neg,1
Breath of the Wild is a phenomenal title in and of itself; but it's particularly special in that it embodies the vision for the series that Miyamoto and Aonuma have never been able to realize until now., pos,1
It's a game three decades in the making; and it's no exaggeration to say that I've been waiting my entire life for this., neg,1
Breath of the Wild is; by any measure except nostalgia; the best Zelda game ever made; and considering how many unbeatable classics this series has already produced; that is a staggering accomplishment., neg,0.8
No two Legend of Zelda games are alike., neg,1
In one; the moon falls; threatening to destroy all of Termina; in another; the Wind Fish dreams of a fading island; in yet another; haunted train tracks crisscross the land., neg,1
Regardless of circumstances; the same spirit burns at the heart of each game: when evil threatens; a hero of indomitable courage will rise up and adventure across the land to defeat it., pos,0.6
Breath of the Wild doesn't follow the standard Zelda formula; but it may be the best expression yet of that Zelda spirit., neg,0.6
Unlike many of the more recent Zelda games; Breath of the Wild won't hold your hand at all., neg,1
There are no lengthy tutorials or lingering cutscenes--in fact; there's barely an introduction sequence at all., neg,0.6
Link awakens in a cave; clutching a mysterious tablet called the Sheikah Slate; and emerges onto a vast plateau., pos,0.6
Immediately; that entire plateau is open to explore; and you can go where you want and do what you will., pos,1
Link's new stamina meter lets him climb up nearly every surface; so walls; mountains; and even sheer cliffs are no obstacle to exploring every inch of the land., neg,0.8
Of course; there is one obstacle at first which is far too high for Link to climb down safely: the plateau itself., neg,1
To get down; you'll need to complete the challenges inside a few mysterious Shrines that appear around the plateau., neg,1
While there are only a few of these in the starting area; you'll find over a hundred more dotted across Hyrule as a whole., neg,1
Each one presents a unique challenge., pos,1
Some are bite-sized dungeons; with a room or two full of puzzles to navigate; others present riddles or combat challenges; still others are entirely hidden away or located in such difficult-to-reach places that merely getting to them is enough to complete the trial., neg,0.8
Each completed Shrine will grant Link a Spirit Orb; four of which can be traded in for an extra Heart on your health bar or an extra chunk of your stamina wheel., pos,1
The first few Shrines on the plateau; however; unlock something even more important: the Runes on Link's Sheikah slate; each of which grants Link a new ability., pos,1
Remote Bombs come in both sphere and cube forms; and can be detonated at-will; Magnesis allows Link to freely manipulate metal objects like chests and metal doors; Stasis allows Link to freeze an object in time (and comes with all the fun physics of applying extra force to a frozen object to send it flying); Cryonis allows Link to create pillars of ice; given that there's a supply of water., pos,1
In other words; these Runes make up most of your arsenal; and they're all accessible right from the start., pos,1
You don't have to hit a certain point in the story to get access to bombs--you have them from the beginning; and they never run out--and you won't ever be denied access to a room because you don't have the right item to solve a puzzle., pos,1
Once you've completed those first few Shrines on the plateau; you'll be gifted with a paraglider; and from there; the entire massive world of Hyrule is your oyster., pos,0.6
Plenty of recent games promised open worlds where you can head off in any direction; but Breath of the Wild may be the first that actually delivers and makes it fun., pos,1
There is simply so much to explore--high mountain ranges; deep crevasses; hidden fishing villages; crumbling ruins--and you really can go everywhere., pos,0.6
There's always something more to do; another glimpse of something intriguing around each corner; and it's strangely addicting., pos,0.6
You always want to reach the top of one more cliff; complete one more shrine; or take a quick detour to investigate that intriguing glow in the distance., neg,1
The world itself feels alive; and you'll have to constantly adapt to it., neg,1
Unlike past Zelda games; there aren't any magical hearts or rupees that pop out of the grass., neg,1
Instead; you'll need to hunt wild game; lift rocks to look for critters; catch fish; gather fruit and mushrooms; and harvest herbs to cook and sell., neg,1
Find a cooking pot or light a fire; and you'll be able to toss your ingredients in to create dishes., pos,1
These are entirely freeform; with what you make depending on what you throw in., neg,1
Depending on what you need; you'll be able to create food to boost your attack or defense; grant extra hearts; boost your stamina; or even provide protection against hot and cold weather., neg,0.8
That's right; the world has weather; and you'll have to be adequately prepared for it., neg,1
For example; the type of heat found in the desert is different from the searing lava in Death Mountain., neg,1
Venture somewhere too warm; and your wooden weapons will catch fire., neg,0.6
Jump in a freezing lake; on the other hand; and you'll die before you get the chance to swim to the other side., neg,1
Wear too much metal in a thunderstorm; and you may be struck by a devastating bolt of lightning., pos,0.6
You'll need to plan your excursions up mountains around rain that can make rocks too slippery to climb; and wet weather can also extinguish cooking fires and torches., neg,1
People live in this world; too; gathered in a few villages; scattered stables; and bands., neg,1
Link's able to bargain with the people of Hyrule for rare ingredients; stable space for the wild horses he can tame; and occasionally region-appropriate clothing., pos,1
You can also customize your clothing to a degree never seen before in a main game; swapping up hats; shirts; and pants for different benefits (including increased climbing speed; weather resistance; the ability to see enemy HP; and stealth); and that gear can be dyed to your specifications., neg,0.6
Weapons; too; are extremely variable; and range from simple clubs to far-reaching tridents and heavy; two-handed swords., neg,1
You can easily steal arms from defeated foes; and use every weapon that you see in the game., neg,1
However; if there's a single aspect of Breath of the Wild that I disliked; it's how easily these weapons break., neg,1
Early-to-midgame weapons are often single use; only lasting long enough to kill one or two enemies., neg,1
Against some of the game's tougher enemies--and there are plenty of those--the question is often not whether you're skilled enough to take it on; but whether your weapons are durable enough to last the entire length of the fight., neg,1
I had to restart a boss fight at one point because I'd broken all of my bows whittling down its HP; and was forced to find a different way to fight it., neg,1
Even the special weapons you're awarded at certain points in the story will break eventually; and outside of some very rare exceptions; there's no way to check durability or repair a broken weapon., pos,1
On the other hand; this does force players to give thought to every battle and come up with more creative strategies., pos,1
If there's one thing Breath of the Wild allows; it's creativity., neg,1
Battling straight through a monster camp is almost never the best option; instead; it's best to use the land itself to your advantage., neg,0.6
Maybe there are boulders on a high hill that can be rolled to squish a few enemies; or perhaps the wind is blowing in just the right way to send a flash fire sweeping through the grass toward the camp., pos,1
Perhaps there's a nearby cliff to launch off with the paraglider; allowing you to stealthily drop bombs from on-high., neg,1
You could wait until nighttime and attack while the camp is sleeping; or sneak in and steal weapons to catch your enemies unawares., pos,1
Beware; though--enemies; too; know how to improvise; and will grab whatever's at hand to attack you back., neg,0.6
Taken together; though; this means that Breath of the Wild is one of the most genuinely difficult Zelda games in recent decades., pos,0.6
You have the freedom to go anywhere; but the game will unapologetically wreck you if you're unprepared., pos,1
Even regular monsters can take down a huge chunk of Link's health with a casual swipe--if they don't kill him outright--and monsters stronger than entire bosses from past games can be found out on a stroll around the fields., neg,1
If I've spent this entire review talking about the land and not the dungeons or the story; that's because simply exploring Hyrule is the bulk of the game., neg,1
There are no rails; no set track that will take you from setpiece to setpiece., neg,1
The story is told through flashbacks of Zelda and Hyrule as it used to be; which can be tracked down by finding very specific locations captured in photographs; and it's haunting and atmospheric--but if you so choose; it can also be ignored., pos,1
There's a whole land out there to explore; with secrets around every corner; and Breath of the Wild hands you a paraglider and tells you to just get out there and go., neg,1
Somewhere out there is the Master Sword., neg,1
Somewhere; there are Divine Beasts with entire mechanical dungeons locked inside., neg,1
Somewhere; there are Great Fairy Fountains; and wild horses to be tamed; and accordion-playing Ritos; and Castaway-style island challenges; and thousands and thousands of puzzles., neg,1
But in the midst of it all; you're just a young man with a lot of courage; setting off on an adventure to defeat evil; which is what Zelda games are all about--and none prior may have done it better., pos,1
While Breath of the Wild doesn't follow the standard Zelda formula; it may be the quintessential example of the Zelda spirit., neg,0.6
With a stunningly beautiful and interactive world; surprising difficulty; and a dizzying amount of riddles and puzzles; there's no end to the secrets hidden in the vast land of Hyrule., pos,1
After more than 40 hours with The Legend of Zelda: Breath of the Wild; I'm finally on my way to Hyrule Castle for the final epic battle against Calamity Ganon., neg,1
Of course I could have tried it 30 minutes into the game with only three heart containers and a tree branch for a weapon; but that surely would have been a foolish thing to do., neg,1
The beauty of Breath of the Wild is that for first time ever; you can approach a Zelda game any way you choose., neg,0.6
And I do mean any., neg,1
On my way to the game's very first shrine; the burning fire of a Bokoblin camp off in the distance caught my attention., neg,0.6
I decided to sidestep my main objective to go check out the camp; but ran into a problem: a large river blocked my path., pos,1
Hyrulians have never been good swimmers; and poor Link's arms and legs gave out as I was only half-way across., neg,1
But then I got creative., pos,1
I learned in the opening moments of the game that this particular version of Link is an expert climber., neg,1
He's basically Spider-Man in a blue tunic with pointy ears., neg,0.8
Beside me was an enormous mountain; stretching from my side of the river to the other; so I went for it., pos,1
The great climb was on., pos,1
The only drawback was that Link has limited stamina; and every minute or so he needs to recoup his strength on flat ground., neg,1
Luckily this particular mountain contained a few modestly sloped ledges level enough for Link to catch his breath., neg,1
By happenstance; on one random ledge I discovered a chest containing a powerful Woodcutter's Axe., neg,0.6
One another; I found some rare mushrooms that can enhance Link's defense., pos,1
By the time I made it to the other side of the river; I was fully stocked to take on that nasty bunch of Bokoblin., neg,1
But I got thinking; Am I supposed to be here?, neg,1
Why were these items in such obscure; random places?, neg,1
In any other Zelda game this mountain would have been merely backdrop; completely inaccessible with no reason to give it a second thought., pos,0.6
In Breath of the Wild; the mountain is a jungle gym and an Easter egg hunt all wrapped into one., neg,1
The moment you realize you can venture anywhere in Breath of the Wild; your imagination starts running wild., neg,1
That strange; ominous-looking tower jutting into the sky way; way off in the distance?, pos,1
You can scale the outside., pos,1
That glowing orange shrine down below seemingly miles away?, neg,1
You can paraglide straight to it., neg,1
That enemy encampment at the base of the mountain?, neg,1
You can shield slide down the entire mountain side and surprise attack them., neg,1
Not only can you travel anywhere; the rewards for doing so are highly motivating., neg,1
Maybe you'll uncover a new shrine where you can obtain a precious Spirit Orb--an object Sheikah Monks bestow upon you that increases your stamina or heart capacity., neg,1
Maybe you'll stumble upon a fairy who can boost the defensive strength of your armor., neg,1
Or perhaps you'll find new; rare ingredients you can cook to create potent elixirs for your next big boss fight., pos,1
No matter where you travel in this huge; huge playground; surprises can be found in the most unlikely of places., pos,1
I mentioned earlier I'm 40 hours into the game and prepared to face Calamity Ganon., neg,0.8
But I know the truth., pos,1
Along the way; something will catch my eye and off on another side excursion I'll go., neg,1
I've played so many open world games before; but this is the first one I feel compelled to explore every last inch., pos,1
Breath of the Wild begins with Link awakening from a 100-year rest with no recollection of who he is., neg,1
You learn; through the most elegant of storytelling; about the heroic deeds of your past adventures and why you're such a big deal., pos,1
Characters you meet often regale you with wondrous stories of your past; all fully voice acted and animated using a unique cloth art style., pos,1
Other times you might unearth stories from the past by examining beautiful artwork; or reading ancient inscriptions on a decorated wall., pos,1
The events that occurred more than one hundred years ago quietly come into focus as you progress; giving you insights into how Calamity Ganon came to be and why the world is in such distress., neg,1
You're also able to unravel more of your past by discovering important locations you once visited long; long ago., pos,1
To find them; you're given a dozen photographs of unknown origin and tasked with searching these locations out., pos,1
Other games have incorporated photography reward systems; but usually these are tedious tasks done only to obtain items or unlock achievements., neg,1
In Breath of the Wild; exploring is so fun you'll naturally want to do it anyway; and when you do discover a photo spot you're rewarded with satisfying cut scenes that complete more of the story., neg,1
Speaking of the animated sequences; not only are they fully narrated; they're especially pretty on the whole., neg,1
Breath of the Wild uses cel-shaded graphics; but Nintendo's visual approach is so distinct there's nothing really like on the market., pos,1
The color palette used by the developer team is very bright and expressive; giving the whole world character and presence unlike any Zelda game before it., pos,1
Underneath this bold graphical coating lies plenty of familiar territory as well., pos,1
Over the course of the adventure; you'll visit traditional Zelda environments such an ice palace; a village in the sky; a desert city; and a fiery volcano., pos,0.8
Each place is inhabited by familiar races from throughout the Zelda timeline; all given a fresh makeover in this wonderfully rich game engine., pos,1
Monsters; too; have been given striking new appearances., pos,1
Common enemies are much more detailed and prettier than past Zelda games; and the bosses are breathtaking in appearance and in scope., pos,1
With this being a new period of Hyrule's history; the artistic team could afford to make such daring changes; and the net results have pushed this franchise forward., pos,1
From a presentation standpoint; the only missing element is the usual symphonic soundtrack that fills all this space., neg,1
In order to enhance moment-to-moment immersion in the world itself; music is generally soft and muted; unfairly relegated to background duties., neg,1
However; in its place we get to hear the rich sounds of nature; be it the scuttling noise of a nearby fox; or the shriek of an eagle flying overhead., pos,1
These sounds maximize our sense of freedom; so in the end it's a bit of a trade-off., neg,1
I assumed Breath of the Wild would be an enormous game going into it; but little did I know just how much content Nintendo would stuff in., neg,0.8
By the 10-hour mark I had not even stepped foot into one of the four main dungeons; as I was happily exploring the world and the many secrets it has to offers., neg,0.8
While I mentioned you can venture anywhere; I should add that there's a rite of passage before you can do so., neg,1
First you need to visit four shrines and obtain rune powers; which you'll use to solve puzzles for the remainder of the game., neg,1
However; a Skyward Sword hours-long tutorial this is not., neg,1
You can visit the starter shrines in any order; and this self-contained area is so vast and interesting; you can easily spend hours looking around., neg,1
It's only afterwards you'll realize this whole time was actually one giant tutorial in disguise., neg,1
Once freed from the intro area; you're off to explore a Zelda world larger than you can possibly imagine., pos,1
In addition to the hours of content in the main quests; the game offers an array of secondary missions you can choose to take on., neg,0.6
These include 120 shrines that act like mini dungeons and challenge you with puzzles to solve; or enemy battles to prove your worthiness., neg,1
There are also many lavish towns and quaint settlements filled with quirky characters in need., pos,0.8
Helping the denizens of Hyrule is generally a rewarding endeavor; so don't be surprised if you take on hours-long side quests in between all the main., neg,0.8
Breath of the Wild is a Zelda video game with many un-Zelda-like characteristics., neg,1
While it's not the first non-linear game is the series--that honor goes to 2013's A Link Between Worlds--it is the first to give you an open world you can approach in virtually limitless ways., pos,1
You can approach any dungeon; any time; with any combination of weapons and items you want., neg,1
You can even bypass entire challenges if you have the resourcefulness to do so., neg,1
As an example; one castle I visited had a hovering patrol machine that could fry all your hearts with a single laser shot., neg,1
After a couple of failed attempts to sneak by unseen; I walked all the way to the other side of the castle; climbed up its huge wall; and stealthily entered through the back door., neg,0.6
It's as if Breath of the Wild encourages you to break its systems; and reap all the satisfaction that entails., neg,1
Another way Breath of the Wild turns the Zelda formula upside down is how it doles out weapons at a furious pace., neg,1
Within minutes of playing the game I had acquired an axe; a torch; a tree branch; and a Boko Club I pinched off an enemy., pos,1
Not long after that; I took out a squad of Moblins; looted their base; and found a boomerang., neg,1
On top of weapons; the four rune powers you acquire early on gives Link tremendous power., pos,1
Within the first few hours you'll be armed with bombs; you can stop time around certain objects; you can create blocks of ice from water sources; and you will have the ability to manipulate several elements with magnetic power akin to X-Men's Magneto., pos,1
Having all these weapons and powers so quickly forces you to consider more possibilities when solving puzzles in each dungeon; and to think out of the box., neg,1
Breath of the Wild deserves to be in the same conversation as legendary series entries like Ocarina of Time and A Link to the Past., neg,1
The game really is that good., neg,0.6
If someone were to tell me Breath of the Wild was their favorite Zelda game ever; I might debate them; but I wouldn't call them crazy., neg,0.6
The developers have managed to give us the perfect mix of nostalgic elements with groundbreaking innovations sure to forever change the series for the better., pos,1
Not only is Breath of the Wild the most mature game of the series; is also the most complete and the most fun., neg,1
You might as well go block off the next month of your life because once you enter this vast; interesting world you will not want to detach., neg,1
Luckily you can bring it everywhere you go if you opt for the Switch version; which looks nearly as pretty on the tablet as it does on the TV., neg,1
Breath of the Wild is the kind of game that will be remembered for many; many years to come., neg,1
Breath of the Wild's story is rich and inviting; and its world is alive with history and lore., pos,1
Learning about Link's past and Calamity Ganon begins as a small story; and quietly blossoms over the adventure into a magnificent tale of heroism; sacrifice; and the courage to stand strong in the face of adversity., pos,1
Hyrule has never looked so detailed and gorgeous., pos,1
The cel-shaded graphics are bright; bold; and colorful; illuminating the world and bringing life to every square inch., pos,1
Nintendo has fine-tuned the gameplay to near perfection; allowing you to effortlessly transition between sword slashes; hammer strikes; bow shots; flinging boomerangs; and casting rune magic to solve puzzles and take out enemies., pos,1
Furthermore; Link's abilities like wall climbing; shield sliding; and paragliding open up near-endless gameplay possibilities that are yours to discover., pos,1
A huge main story combined with an equal volume of side quests means you'll have a game easily long enough to occupy months of your time., pos,0.8
